City_ID,City,Lat,Lng,Max Temp (C),Humidity,Cloudiness,Wind Speed,Country,Date
0,port mathurin,-19.6833,63.4167,25.200000000000045,71,69,4.54,MU,1684991545
1,tazacorte,28.629,-17.9293,18.54000000000002,77,75,3.6,ES,1684991545
2,adamstown,-25.066,-130.1015,23.610000000000014,71,66,2.25,PN,1684991545
3,olonkinbyen,70.9221,-8.7187,-2.419999999999959,90,100,17.15,SJ,1684991546
4,albany,42.6001,-73.9662,7.420000000000016,86,55,2.32,US,1684991250
5,yellowknife,62.456,-114.3525,13.29000000000002,67,20,2.06,CA,1684991546
6,sretensk,52.2453,117.7093,20.78000000000003,21,99,2.16,RU,1684991546
7,bandarbeyla,9.4942,50.8122,28.879999999999995,69,100,7.04,SO,1684991546
8,kolonia town,6.964,158.206,32.06,74,75,5.14,FM,1684991547
9,kunashak,55.7032,61.5498,26.29000000000002,35,25,3.47,RU,1684991547
10,port-aux-francais,-49.35,70.2167,5.670000000000016,99,100,8.29,TF,1684991547
11,umluj,25.0213,37.2685,29.25,56,29,2.77,SA,1684991547
12,hermanus,-34.4187,19.2345,12.110000000000014,85,99,7.45,ZA,1684991548
13,novyy urengoy,66.0833,76.6333,5.410000000000025,77,19,2.44,RU,1684991548
14,zhanaozen,43.3,52.8,28.600000000000023,19,83,10.14,KZ,1684991548
15,icano,-28.9193,-65.3282,20.77000000000004,88,92,1.02,AR,1684991548
16,pacific grove,36.6177,-121.9166,12.970000000000027,86,100,5.14,US,1684991549
17,kingston,17.997,-76.7936,26.25,82,1,0.89,JM,1684991275
18,west island,-12.1568,96.8225,25.99000000000001,94,100,12.35,CC,1684991549
19,ushuaia,-54.8,-68.3,3.8100000000000023,70,20,3.09,AR,1684991550
20,tura,25.5198,90.2201,30.220000000000027,50,2,2.22,IN,1684991550
21,edinburgh of the seven seas,-37.0676,-12.3116,14.82000000000005,81,98,13.91,SH,1684991551
22,iskateley,67.6803,53.1512,18.83000000000004,61,98,4.79,RU,1684991551
23,invercargill,-46.4,168.35,13.53000000000003,73,94,3.59,NZ,1684991551
24,whitehorse,60.7161,-135.0538,15.010000000000048,47,20,4.63,CA,1684991528
25,port lincoln,-34.7333,135.8667,13.650000000000034,61,81,9.51,AU,1684991552
26,nguigmi,14.2495,13.1092,29.910000000000025,39,14,3.72,NE,1684991552
27,touros,-5.1989,-35.4608,24.08000000000004,89,70,3.81,BR,1684991553
28,bethel,41.3712,-73.414,12.580000000000041,79,75,3.6,US,1684991553
29,chulym,55.0997,80.9572,15.800000000000011,34,18,3.32,RU,1684991553
30,tadine,-21.55,167.8833,22.470000000000027,54,87,5.63,NC,1684991554
31,waitangi,-43.9535,-176.5597,11.57000000000005,78,40,3.13,NZ,1684991554
32,susuman,62.7833,148.1667,7.82000000000005,40,100,2.15,RU,1684991554
33,jinxiang,27.4327,120.6062,23.340000000000032,73,11,3.52,CN,1684991555
34,san antonio de pale,-1.4014,5.6325,26.32000000000005,89,99,6.33,GQ,1684991555
35,enewetak,11.3474,162.3373,27.75,79,96,7.01,MH,1684991556
36,vilyuchinsk,52.9306,158.4028,13.150000000000034,75,40,1.96,RU,1684991556
37,pampa,35.5362,-100.9599,16.53000000000003,88,84,4.12,US,1684991557
38,guane,22.2025,-84.0875,22.83000000000004,89,1,2.16,CU,1684991557
39,darazo,10.9938,10.4118,27.24000000000001,62,73,3.09,NG,1684991298
40,jumla,29.2747,82.1838,12.760000000000048,83,100,1.68,NP,1684991557
41,timimoun,29.2639,0.231,22.82000000000005,23,14,5.84,DZ,1684991558
42,thompson,55.7435,-97.8558,15.090000000000032,38,75,3.09,CA,1684991558
43,harstad,68.799,16.5293,5.640000000000043,85,79,13.86,NO,1684991558
44,bredasdorp,-34.5322,20.0403,13.080000000000041,85,100,6.06,ZA,1684991559
45,puerto natales,-51.7236,-72.4875,-1.8999999999999773,88,65,1.71,CL,1684991537
46,constantia,44.1833,28.65,19.28000000000003,73,69,1.68,RO,1684991559
47,porbandar,21.6422,69.6093,31.99000000000001,66,40,7.2,IN,1684991560
48,udachny,66.4167,112.4,4.140000000000043,64,100,6.58,RU,1684991560
49,reyes,-14.3167,-67.3833,21.629999999999995,99,65,0.63,BO,1684991560
50,tazovsky,67.4667,78.7,5.090000000000032,73,14,3.39,RU,1684991561
51,lebu,-37.6167,-73.65,10.560000000000002,88,81,3.44,CL,1684991561
52,port elizabeth,-33.918,25.5701,16.29000000000002,86,0,3.6,ZA,1684991561
53,bilibino,68.0546,166.4372,11.830000000000041,36,16,1.31,RU,1684991562
54,volgodonsk,47.5136,42.1514,20.49000000000001,66,52,3.57,RU,1684991562
55,kirakira,-10.4544,161.9205,27.410000000000025,85,100,1.82,SB,1684991562
56,badger,64.8,-147.5333,18.140000000000043,48,75,4.63,US,1684991537
57,babu,24.4167,111.5167,28.879999999999995,75,100,1.52,CN,1684991563
58,olinda,-8.0089,-34.8553,23.850000000000023,94,75,1.54,BR,1684991563
59,petropavlovsk-kamchatsky,53.0452,158.6483,12.330000000000041,44,75,6.0,RU,1684991564
60,qaqortoq,60.7167,-46.0333,0.6299999999999955,99,100,3.87,GL,1684991564
61,papatowai,-46.5619,169.4708,13.710000000000036,69,94,3.6,NZ,1684991564
62,grytviken,-54.2811,-36.5092,0.5600000000000023,62,88,2.59,GS,1684991565
63,codrington,-38.2667,141.9667,13.07000000000005,64,89,8.61,AU,1684991565
64,leua,48.2156,18.6071,16.390000000000043,84,5,1.22,SK,1684991565
65,kodiak,57.79,-152.4072,6.730000000000018,81,100,3.09,US,1684991425
66,nuuk,64.1835,-51.7216,0.5500000000000114,91,59,2.17,GL,1684991566
67,galeana,24.8333,-100.0667,16.0,95,90,0.51,MX,1684991566
68,lakatoro,-16.0999,167.4164,25.420000000000016,70,93,6.36,VU,1684991567
69,avarua,-21.2078,-159.775,26.03000000000003,73,69,5.14,CK,1684991568
70,hammerfest,70.6634,23.6821,9.25,49,0,5.14,NO,1684991568
71,sao vicente,-23.9631,-46.3919,23.100000000000023,26,33,1.15,BR,1684991568
72,longyearbyen,78.2186,15.6401,1.910000000000025,75,75,5.14,SJ,1684991569
73,bel ombre,-4.6167,55.4167,28.910000000000025,74,40,4.12,SC,1684991569
74,isafjordur,66.0755,-23.124,3.7800000000000296,79,48,8.94,IS,1684991569
75,iqaluit,63.7506,-68.5145,-1.1499999999999773,80,100,3.09,CA,1684991570
76,east london,-33.0153,27.9116,21.52000000000004,37,100,0.72,ZA,1684991447
77,ilulissat,69.2167,-51.1,-1.9899999999999523,54,95,9.77,GL,1684991570
78,pitimbu,-7.4706,-34.8086,24.33000000000004,83,13,3.04,BR,1684991570
79,al jawf,29.5,38.75,26.460000000000036,18,15,2.02,SA,1684991571
80,mendoza,-32.8908,-68.8272,14.490000000000009,70,63,1.13,AR,1684991396
81,zaltan,32.947,11.8665,19.390000000000043,81,61,5.56,LY,1684991571
82,chabahar,25.2919,60.643,31.810000000000002,63,92,4.06,IR,1684991571
83,n'dalatando,-9.2978,14.9116,18.560000000000002,93,96,1.01,AO,1684991572
84,priozersk,61.0393,30.1291,18.390000000000043,93,7,3.78,RU,1684991572
85,qamdo,31.1667,97.2333,13.870000000000005,18,3,3.53,CN,1684991572
